company,name,year,TA,size,liquid_ratio,Operating_Expense_Ratio,Cash_Flow_Ratio,GDP,PAC,underwriting_revenue,brokerage_revenue,netprofit_growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026000,富邦期貨,2004,6287721,16,115.39,27.56,0.03,6.95,0,0,653102,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872,元大期貨,2004,8184070,16,108.59,39.37,3.26,5.38,0,0,1089962,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,元富期貨,2004,5658799,16,115.65,28.4,2.61,5.38,0,0,655417,14.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2005,30581121,17,123.48,122.66,6.89,5.38,0,51775,1826196,263.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2005,114050634,19,137.09,84.33,1.46,5.38,0,270196,4035522,102.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,康和證券,2005,18055827,17,128.44,92.79,9.54,5.38,0,420,778291,187.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000960,富邦證券,2005,65579495,18,184.87,73.32,2.62,5.38,0,249955,3354982,58.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000884,玉山證券,2005,6881809,16,165.07,79.83,10.66,5.38,0,13429,210996,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,中信證券,2005,14866138,17,151.32,59.59,4.19,5.38,0,52720,236500,515.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,群益證券,2005,73915843,18,121.96,64.9,2,5.38,0,120442,2554180,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000815,台新證券,2005,246036,12,"4,796.93",168.38,169.56,5.38,0,0,14077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000116,日盛證券,2005,63365657,18,137.14,65.34,11.83,5.38,0,64125,2726613,178.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000888,國泰證券,2005,4134416,15,"3,466.59",80.54,155.08,5.38,0,158761,167687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
